,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,468,18,10,0,0,0
WALKING_UPSTAIRS,1,447,23,0,0,0
WALKING_DOWNSTAIRS,8,16,396,0,0,0
SITTING,1,7,0,389,94,0
STANDING,0,3,0,103,426,0
LAYING,0,27,0,0,0,510
