,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,455,17,16,6,2,0
WALKING_UPSTAIRS,6,423,42,0,0,0
WALKING_DOWNSTAIRS,4,1,415,0,0,0
SITTING,1,20,3,363,104,0
STANDING,4,1,0,46,481,0
LAYING,0,27,1,0,0,509
