epoch,loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.289868488863597,0.78118829678516,0.6877551020408164,0.6329692496057319,0.001
2,0.5847199679482231,0.5315912993586793,0.7673469387755102,0.7499196640343877,0.001
3,0.3864080854622476,0.38604143079446285,0.8326530612244898,0.827146949729426,0.001
4,0.28767958212677025,0.3127714291519048,0.8683673469387755,0.8659705693078266,0.001
5,0.22609295835303977,0.28126057003225596,0.8821428571428571,0.8811062385133822,0.001
6,0.2010089304043914,0.2883044088373379,0.8693877551020408,0.8680342643005212,0.001
7,0.17566434167966644,0.26835752220786346,0.8704081632653061,0.8719511014337261,0.001
8,0.1629109457632643,0.257989544284587,0.8760204081632653,0.8760197938949967,0.001
9,0.15430295571286884,0.2947502763903871,0.8673469387755102,0.8652092301998149,0.001
10,0.14833062829709548,0.2639433839339383,0.8785714285714286,0.8782608204342349,0.001
11,0.14142247925039922,0.3091081518375752,0.8653061224489796,0.8625280668351839,0.001
12,0.13463198678783564,0.29642208282436644,0.8668367346938776,0.8661101171514032,0.001
13,0.13091020149010224,0.26939238343311817,0.8729591836734694,0.8729314422553132,0.0005
14,0.12770610185511388,0.25627631513135773,0.8821428571428571,0.8844565285136233,0.0005
15,0.12509555039092765,0.2877775509670681,0.8704081632653061,0.8687374876346832,0.0005
16,0.12273367766279848,0.2526206743124188,0.888265306122449,0.8891711645996438,0.0005
17,0.12131944396021811,0.29476576537958216,0.8709183673469387,0.870190337351694,0.0005
18,0.12259229421283972,0.2547803662185158,0.8862244897959184,0.8884362430910263,0.0005
19,0.12053805961099506,0.2661079711527849,0.8811224489795918,0.8822617644571427,0.0005
20,0.11736408564143258,0.26909445722644426,0.8862244897959184,0.8867002467533669,0.0005
21,0.1158830921665851,0.2734850784725681,0.8821428571428571,0.8823880144711168,0.00025
22,0.1150043458520305,0.25435940263678836,0.8831632653061224,0.8854092016205809,0.00025
23,0.11398537543212625,0.2583199258627636,0.8801020408163265,0.8820365155380543,0.00025
24,0.11323013419744168,0.25836564922819333,0.8816326530612245,0.8836806858826282,0.00025
25,0.11261002325870163,0.2690068098393326,0.8826530612244898,0.884052746273523,0.000125
26,0.11210992717866727,0.26951655921507245,0.886734693877551,0.8876116558647406,0.000125
27,0.11187428625118132,0.2649792132823139,0.8801020408163265,0.8819442941198101,0.000125
28,0.11171041361611746,0.2597816081907676,0.8816326530612245,0.8836638382297637,0.000125
29,0.11112172938109506,0.2686781586356917,0.8801020408163265,0.8818284915245691,6.25e-05
30,0.11085959751634286,0.2670050775100078,0.8795918367346939,0.8814993440665561,6.25e-05
