epoch,loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.289868488863597,0.78118829678516,0.6877551020408164,0.6329692496057319,0.001
2,0.5847199679482231,0.5315912993586793,0.7673469387755102,0.7499196640343877,0.001
3,0.3864080854622476,0.38604143079446285,0.8326530612244898,0.827146949729426,0.001
4,0.28767958212677025,0.3127714291519048,0.8683673469387755,0.8659705693078266,0.001
5,0.22609295835303977,0.28126057003225596,0.8821428571428571,0.8811062385133822,0.001
6,0.2010089304043914,0.2883044088373379,0.8693877551020408,0.8680342643005212,0.001
7,0.17566434167966644,0.26835752220786346,0.8704081632653061,0.8719511014337261,0.001
8,0.1629109457632643,0.257989544284587,0.8760204081632653,0.8760197938949967,0.001
9,0.15430295571286884,0.2947502763903871,0.8673469387755102,0.8652092301998149,0.001
10,0.14833062829709548,0.2639433839339383,0.8785714285714286,0.8782608204342349,0.001
11,0.14142247925039922,0.3091081518375752,0.8653061224489796,0.8625280668351839,0.001
12,0.13463198678783564,0.29642208282436644,0.8668367346938776,0.8661101171514032,0.001
13,0.13137080093696493,0.3278442930962358,0.8525510204081632,0.8504286199961446,0.001
14,0.13032935042409585,0.27445075732408736,0.8795918367346939,0.8815565998049815,0.001
15,0.12463469903927175,0.2839058412200942,0.8714285714285714,0.8697393771641605,0.001
16,0.11989751454851748,0.23845095689959672,0.8964285714285715,0.8983198831454998,0.001
17,0.1182697926943663,0.3530639442425145,0.8540816326530613,0.8512254319386591,0.001
18,0.12070436352305668,0.24780859464437377,0.8887755102040816,0.8918055308723744,0.001
19,0.11537117725486926,0.2771452330813116,0.886734693877551,0.8871962451157868,0.001
20,0.11284632825510969,0.2825275773182511,0.878061224489796,0.879148833131432,0.001
21,0.11205753056161127,0.2812872544615244,0.8872448979591837,0.8885597535504667,0.001
22,0.10969335185667882,0.2576980534845925,0.8872448979591837,0.8898771140606838,0.001
23,0.10718539514156053,0.27611978217503247,0.8806122448979592,0.8822759090243574,0.001
24,0.10547075272490787,0.2806484502112987,0.8892857142857142,0.8898912753019849,0.001
25,0.10526883461753056,0.2461824331917249,0.8923469387755102,0.8955994707944259,0.001
26,0.10182953583911195,0.2905745139830195,0.8831632653061224,0.8853165453095708,0.001
27,0.10214451336763379,0.30181057022038693,0.8770408163265306,0.8780713771966621,0.001
28,0.10186727050946091,0.27737513904326727,0.8887755102040816,0.8914873866892656,0.001
29,0.09605386156798824,0.2815669751098874,0.8841836734693878,0.8863157244562813,0.001
30,0.09552357007558693,0.2758459196573275,0.8857142857142857,0.8879215021142882,0.001
