epoch,loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.3543040821389558,0.8389566752375389,0.6607142857142857,0.5759912413773659,0.001
2,0.6252505253082921,0.5618394934401221,0.7474489795918368,0.7163119435776886,0.001
3,0.4374802713047503,0.42160572300151905,0.8219387755102041,0.8139659946326961,0.001
4,0.3229551057079779,0.3344759177188484,0.8770408163265306,0.874654601579778,0.001
5,0.250120125379336,0.307828927830774,0.8775510204081632,0.8728806821257192,0.001
6,0.20591495767545276,0.2939293160730479,0.8561224489795919,0.8513616397355971,0.001
7,0.17901584855349906,0.28782234553779873,0.8596938775510204,0.8547766425834031,0.001
8,0.1603708811966531,0.27723046121548633,0.8612244897959184,0.8591045731496432,0.001
9,0.15061032847233272,0.2360998223326644,0.8872448979591837,0.8856673701515735,0.001
10,0.14029693992626066,0.27288202847145043,0.8668367346938776,0.8651238189799907,0.001
