,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,455,20,20,1,0,0
WALKING_UPSTAIRS,3,444,24,0,0,0
WALKING_DOWNSTAIRS,37,10,372,1,0,0
SITTING,1,2,0,384,104,0
STANDING,2,2,0,87,441,0
LAYING,0,27,0,0,0,510
