epoch,loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.289868488863597,0.78118829678516,0.6877551020408164,0.6329692496057319,0.001
2,0.5847199679482231,0.5315912993586793,0.7673469387755102,0.7499196640343877,0.001
3,0.3864080854622476,0.38604143079446285,0.8326530612244898,0.827146949729426,0.001
4,0.28767958212677025,0.3127714291519048,0.8683673469387755,0.8659705693078266,0.001
5,0.22609295835303977,0.28126057003225596,0.8821428571428571,0.8811062385133822,0.001
6,0.2010089304043914,0.2883044088373379,0.8693877551020408,0.8680342643005212,0.001
7,0.17566434167966644,0.26835752220786346,0.8704081632653061,0.8719511014337261,0.001
8,0.1629109457632643,0.257989544284587,0.8760204081632653,0.8760197938949967,0.001
9,0.15430295571286884,0.2947502763903871,0.8673469387755102,0.8652092301998149,0.001
10,0.14833062829709548,0.2639433839339383,0.8785714285714286,0.8782608204342349,0.001
