epoch,loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.2898530731922795,0.781267355412853,0.688265306122449,0.6334905890002437,0.001
2,0.584951437368591,0.5305048032682769,0.7688775510204081,0.7517725677249739,0.001
3,0.3840559620178064,0.38386525475249,0.835204081632653,0.829682498488277,0.001
4,0.2842236029022879,0.31507991175262295,0.8673469387755102,0.8645315779999079,0.001
5,0.22322167274859964,0.28325692153706844,0.8785714285714286,0.8769596798789032,0.001
6,0.19947352249296907,0.2873750359428172,0.871938775510204,0.8704072897984,0.001
7,0.17444032797650696,0.26927678591134596,0.8673469387755102,0.8685102972307549,0.001
8,0.1621129093387714,0.2588790777082346,0.8739795918367347,0.8733368915829282,0.001
9,0.1539836719366846,0.2964496831960824,0.8668367346938776,0.8645328523119319,0.001
10,0.1485241128888965,0.2701780021798854,0.8744897959183674,0.873441791941277,0.001
11,0.14210867562306387,0.30775052281666776,0.8663265306122448,0.8635666971735442,0.001
12,0.13565306577732017,0.29987521267363004,0.863265306122449,0.8618664769166603,0.001
13,0.13273044240050216,0.3286193518728322,0.8530612244897959,0.8508023206583251,0.001
14,0.13215276957088834,0.27963411291034856,0.8755102040816326,0.8768684890858012,0.001
15,0.1269118718924526,0.27452595645219696,0.875,0.8739066868254919,0.001
16,0.12192962886848506,0.23920227542367517,0.8964285714285715,0.8982036690394047,0.001
17,0.12020089974742969,0.3633870567822335,0.85,0.8468911664677498,0.001
18,0.12341147236724989,0.2472273208999208,0.8877551020408163,0.8905851460230734,0.001
19,0.11705400376892938,0.2750580114483529,0.8857142857142857,0.8855101759122602,0.001
20,0.11474478954465878,0.2918658756860057,0.8770408163265306,0.8778593700223852,0.001
21,0.1145542646683642,0.28181388200621826,0.8877551020408163,0.888904305347692,0.001
22,0.11183843728519689,0.26670294673163064,0.8862244897959184,0.8882162030798377,0.001
23,0.10974903992800047,0.28588237836006647,0.875,0.875875549974254,0.001
24,0.10811698007831234,0.2937046493194541,0.8862244897959184,0.8862023648383781,0.001
25,0.10839134827808916,0.24489221732151142,0.8923469387755102,0.895687679010945,0.001
26,0.10518399126363437,0.28781389400210916,0.8806122448979592,0.8823554878794734,0.001
27,0.1059813914870296,0.307204553789022,0.871938775510204,0.8723549508772362,0.001
28,0.10610214875076927,0.2834414080764186,0.8841836734693878,0.8864523241456875,0.001
29,0.10071164438119629,0.28159748593212236,0.8831632653061224,0.885000285597887,0.001
30,0.0999824762211709,0.280392359899433,0.8826530612244898,0.8843055800655094,0.001
